iso3_code,country,year,value
AUT,Austria,2013,1.81154978929864
CAN,Canada,2013,1.58833676315993
CHE,Switzerland,2013,1.701608445383
COL,Colombia,2013,0.0262846450513866
CZE,Czechia,2013,0.5034169424972
DEU,Germany,2013,2.05042643454093
FIN,Finland,2013,1.1594695090376
HUN,Hungary,2013,0.95588353217658
MMR,Myanmar,2013,0.0199218521521258
SVK,Slovakia,2013,0.0758682312972007
SVN,Slovenia,2013,1.57094536546571
AUS,Australia,2014,9.70335033323931
AUT,Austria,2014,1.72312534731745
CAN,Canada,2014,1.66338068829165
CHE,Switzerland,2014,1.70421980878901
COL,Colombia,2014,0.0260570124827421
CZE,Czechia,2014,0.502875626575778
DEU,Germany,2014,2.05385994736533
FIN,Finland,2014,1.11678292066653
HUN,Hungary,2014,0.532185005815186
MMR,Myanmar,2014,0.0079045319092317
SVK,Slovakia,2014,0.0
SVN,Slovenia,2014,0.882269039120789
ATG,Antigua and Barbuda,2015,4.71220224772047
AUS,Australia,2015,10.0063165924574
AUT,Austria,2015,1.72289784336852
BOL,Bolivia (Plurinational State of),2015,0.396329520253024
CAN,Canada,2015,1.66501655303956
CHE,Switzerland,2015,1.82996747415811
COL,Colombia,2015,0.0559824504491795
CZE,Czechia,2015,0.405676613535265
DEU,Germany,2015,1.95535614993047
FIN,Finland,2015,1.00117081364596
LTU,Lithuania,2015,0.373640555543724
MMR,Myanmar,2015,0.0156865273397152
NZL,New Zealand,2015,2.11283228689445
ROU,Romania,2015,0.20823280677677
SVK,Slovakia,2015,0.378393074347239
SVN,Slovenia,2015,0.489541197094671
VEN,Venezuela (Bolivarian Republic of),2015,0.987149193089442
ATG,Antigua and Barbuda,2016,9.36318629229527
AUS,Australia,2016,10.3362259167696
AUT,Austria,2016,1.74699057580111
BOL,Bolivia (Plurinational State of),2016,0.319576511410479
CAN,Canada,2016,1.70801253914115
CHE,Switzerland,2016,1.73567522527317
COL,Colombia,2016,0.042646274696511
CZE,Czechia,2016,0.366586065967163
DEU,Germany,2016,1.85594216120302
ESP,Spain,2016,0.617730666775654
FIN,Finland,2016,1.03434238358292
FRA,France,2016,4.74270326848443
GUY,Guyana,2016,12.3131941228589
HRV,Croatia,2016,0.552174185856811
HUN,Hungary,2016,0.598276664069149
LTU,Lithuania,2016,0.227078420397092
LVA,Latvia,2016,0.0
MNG,Mongolia,2016,0.0
NZL,New Zealand,2016,2.83459494282493
ROU,Romania,2016,0.345039603488852
SVK,Slovakia,2016,0.642125632257672
SVN,Slovenia,2016,0.879942588634662
VEN,Venezuela (Bolivarian Republic of),2016,0.0850758809779263
ATG,Antigua and Barbuda,2017,9.30892842597656
AUS,Australia,2017,9.87695731528654
AUT,Austria,2017,1.87235940979071
BHS,Bahamas,2017,1.59588898996186
BOL,Bolivia (Plurinational State of),2017,0.437563342763407
CAN,Canada,2017,4.73072380621773
CHE,Switzerland,2017,2.07595192238517
COL,Colombia,2017,0.042036113309016
DEU,Germany,2017,1.75757223548757
ESP,Spain,2017,0.681506521822078
FIN,Finland,2017,0.589135892294176
FRA,France,2017,5.07189265457847
GTM,Guatemala,2017,0.0
HUN,Hungary,2017,0.363854209183209
KNA,Saint Kitts and Nevis,2017,0.0
LTU,Lithuania,2017,0.153261520093735
LVA,Latvia,2017,1.00813621936596
MEX,Mexico,2017,0.534044727493696
MNG,Mongolia,2017,0.129505496213259
NZL,New Zealand,2017,1.72113246318193
OMN,Oman,2017,0.0
PAN,Panama,2017,0.633368996879927
ROU,Romania,2017,0.325433949112103
SLV,El Salvador,2017,1.65723928624395
SVK,Slovakia,2017,1.09321855795048
SVN,Slovenia,2017,0.976079702764209
VEN,Venezuela (Bolivarian Republic of),2017,0.0725167201307173
ALB,Albania,2018,0.0698045681505489
ATG,Antigua and Barbuda,2018,4.62962962962963
AUS,Australia,2018,9.27355085826673
AUT,Austria,2018,2.39168649773388
BHS,Bahamas,2018,2.64847341992076
BOL,Bolivia (Plurinational State of),2018,0.362448161283218
CAN,Canada,2018,5.19040607717156
CHE,Switzerland,2018,2.43911824691336
COL,Colombia,2018,2.78590275424664
DEU,Germany,2018,1.85114575050726
ESP,Spain,2018,0.821228355338075
FIN,Finland,2018,1.2126461353427
FRA,France,2018,5.79741441306893
GTM,Guatemala,2018,0.071756176816548
GUY,Guyana,2018,1.03120689877415
HRV,Croatia,2018,0.722201931786996
HUN,Hungary,2018,0.171189822765037
KNA,Saint Kitts and Nevis,2018,0.0
LTU,Lithuania,2018,0.694095254547866
LVA,Latvia,2018,0.901522728233156
MEX,Mexico,2018,0.613445973887287
MMR,Myanmar,2018,0.0076706757965095
MNG,Mongolia,2018,0.189948555599525
NZL,New Zealand,2018,1.72856116009501
OMN,Oman,2018,0.0
